year,release,id_patmos,ch1_low_gain_s0,ch1_low_gain_s1,ch1_low_gain_s2,ch1_high_gain_s0,ch1_high_gain_s1,ch1_high_gain_s2,ch1_gain_switch,ch1_c0,ch2_low_gain_s0,ch2_low_gain_s1,ch2_low_gain_s2,ch2_high_gain_s0,ch2_high_gain_s1,ch2_high_gain_s2,ch2_gain_switch,ch2_c0,ch3a_low_gain_s0,ch3a_low_gain_s1,ch3a_low_gain_s2,ch3a_high_gain_s0,ch3a_high_gain_s1,ch3a_high_gain_s2,ch3a_gain_switch,ch3a_c0
2008,1,m02,0.0552,0,0,0.1657,0,0,501,40.43,0.0615,0,0,0.1844,0,0,500,39.75,0.026,0,0,0.184,0,0,502,41.8
2008,1,n05,0.114803,3.43456,-0.384635,0.114803,3.43456,-0.384635,500,39.44,0.132682,0.00926103,0.137333,0.132682,0.00926103,0.137333,500,39.4,0,0,0,0,0,0,500,37.51
2008,1,n06,0.114803,3.43456,-0.384635,0.114803,3.43456,-0.384635,500,39.44,0.132682,0.00926103,0.137333,0.132682,0.00926103,0.137333,500,39.4,0,0,0,0,0,0,500,37.51
2008,1,n07,0.111206,8.8581,-1.11938,0.111206,8.8581,-1.11938,500,36,0.107664,20.7843,-4.32167,0.107664,20.7843,-4.32167,500,37,0,0,0,0,0,0,500,39
2008,1,n08,0.114803,3.43456,-0.384635,0.114803,3.43456,-0.384635,500,39.44,0.132682,0.00926103,0.137333,0.132682,0.00926103,0.137333,500,39.4,0,0,0,0,0,0,500,37.51
2008,1,n09,0.109312,5.66526,0.27152,0.109312,5.66526,0.27152,500,38,0.11601,3.93889,-0.258047,0.11601,3.93889,-0.258047,500,40,0,0,0,0,0,0,500,38
2008,1,n10,0.114803,3.43456,-0.384635,0.114803,3.43456,-0.384635,500,39.44,0.132682,0.00926103,0.137333,0.132682,0.00926103,0.137333,500,39.4,0,0,0,0,0,0,500,37.51
2008,1,n11,0.114786,-1.82974,0.412551,0.114786,-1.82974,0.412551,500,40,0.115219,-1.39495,0.236978,0.115219,-1.39495,0.236978,500,40,0,0,0,0,0,0,500,40
2008,1,n12,0.118059,4.88848,-0.347769,0.118059,4.88848,-0.347769,500,41,0.135684,4.67098,-0.399447,0.135684,4.67098,-0.399447,500,40,0,0,0,0,0,0,500,40
2008,1,n14,0.121408,4.07313,-0.375215,0.121408,4.07313,-0.375215,500,41,0.144515,0.885331,0.233727,0.144515,0.885331,0.233727,500,41,0,0,0,0,0,0,500,39
2008,1,n15,0.0630028,-1.99143,0.215142,0.189008,-1.99143,0.215142,500,39,0.0706354,-1.39623,0.132303,0.211906,-1.39623,0.132303,500,40,0.0275,0,0,0.1846,0,0,500,39
2008,1,n16,0.0553814,1.74041,-0.254715,0.166144,1.74041,-0.254715,498.96,39.3,0.0580178,0.900055,0.00488307,0.174053,0.900055,0.00488307,500.17,38.9,0.0262,0,0,0.192,0,0,499.43,38.4
2008,1,n17,0.0578092,-0.414102,0.484094,0.173428,-0.414102,0.484094,501.12,39.99,0.0671357,0.367666,0.496714,0.201407,0.367666,0.496714,500.73,39.09,0.03129,0,0,0.2193,0,0,501.37,42.09
2008,1,n18,0.0555,3.08,-0.4,0.1665,3.08,-0.4,500.54,39.44,0.0615,4.95,-0.81,0.1845,4.95,-0.81,500.4,39.4,0.0262,0,0,0.1849,0,0,500.56,37.51
2008,1,n19,0.0551,3.08,-0.4,0.1625,3,-0.4,496.43,38.8,0.0549,4.95,-0.81,0.1635,4.95,-0.81,500.37,39,0.0272,0,0,0.188,0,0,496.11,39.4
2009,1,m02,0.0555,1.797,-0.352,0.1665,1.797,-0.352,501,40.43,0.0635,2.149,-0.225,0.1905,2.149,-0.225,500,39.75,0.026,0,0,0.184,0,0,502,41.8
2009,1,n05,0.105,27.015,-12.876,0.105,27.015,-12.876,500,39.44,0.121,10.709,-0.643,0.121,10.709,-0.643,500,39.4,0,0,0,0,0,0,500,37.51
2009,1,n06,0.088,47.977,-16.122,0.088,47.977,-16.122,500,39.44,0.077,97.301,-32.59,0.077,97.301,-32.59,500,39.4,0,0,0,0,0,0,500,37.51
2009,1,n07,0.117,3.635,0.045,0.117,3.635,0.045,500,36,0.119,6.579,-0.62,0.119,6.579,-0.62,500,37,0,0,0,0,0,0,500,39
2009,1,n08,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2009,1,n09,0.11,3.242,0.793,0.11,3.242,0.793,500,38,0.117,2.365,0.155,0.117,2.365,0.155,500,40,0,0,0,0,0,0,500,38
2009,1,n10,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2009,1,n11,0.114,0.022,0.091,0.114,0.022,0.091,500,40,0.116,0.299,0.045,0.116,0.299,0.045,500,40,0,0,0,0,0,0,500,40
2009,1,n12,0.123,2.624,-0.116,0.123,2.624,-0.116,500,41,0.147,1.191,-0.041,0.147,1.191,-0.041,500,40,0,0,0,0,0,0,500,40
2009,1,n14,0.12,5.034,-0.489,0.12,5.034,-0.489,500,41,0.147,0.023,0.311,0.147,0.023,0.311,500,41,0,0,0,0,0,0,500,39
2009,1,n15,0.0605,0.447,-0.06,0.1815,0.447,-0.06,500,39,0.0675,0.035,0.007,0.2025,0.035,0.007,500,40,0.0275,0,0,0.1846,0,0,500,39
2009,1,n16,0.056,0.306,0.025,0.168,0.306,0.025,498.96,39.3,0.058,0.586,0.036,0.174,0.586,0.036,500.17,38.9,0.0262,0,0,0.192,0,0,499.43,38.4
2009,1,n17,0.0575,1.707,-0.151,0.1725,1.707,-0.151,501.12,39.99,0.065,3.117,-0.265,0.195,3.117,-0.265,500.73,39.09,0.0313,0,0,0.2193,0,0,501.37,42.09
2009,1,n18,0.0555,3.068,-0.443,0.1665,3.068,-0.443,500.54,39.44,0.0595,4.541,-0.611,0.1785,4.541,-0.611,500.4,39.4,0.0262,0,0,0.1849,0,0,500.56,37.51
2009,1,n19,0.056,-5.985,-8.687,0.168,-5.985,-8.687,496.43,38.8,0.0585,2.263,0.748,0.1755,2.263,0.748,500.37,39,0.0272,0,0,0.188,0,0,496.11,39.4
2010,1,m02,0.0555,1.797,-0.352,0.1665,1.797,-0.352,501,40.43,0.0635,2.149,-0.225,0.1905,2.149,-0.225,500,39.75,0.031,4.11,0,0.217,4.11,0,502,41.8
2010,1,n05,0.105,27.015,-12.876,0.105,27.015,-12.876,500,39.44,0.121,10.709,-0.643,0.121,10.709,-0.643,500,39.4,0,0,0,0,0,0,500,37.51
2010,1,n06,0.088,47.977,-16.122,0.088,47.977,-16.122,500,39.44,0.077,97.301,-32.59,0.077,97.301,-32.59,500,39.4,0,0,0,0,0,0,500,37.51
2010,1,n07,0.117,3.635,0.045,0.117,3.635,0.045,500,36,0.119,6.579,-0.62,0.119,6.579,-0.62,500,37,0,0,0,0,0,0,500,39
2010,1,n08,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2010,1,n09,0.11,3.242,0.793,0.11,3.242,0.793,500,38,0.117,2.365,0.155,0.117,2.365,0.155,500,40,0,0,0,0,0,0,500,38
2010,1,n10,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2010,1,n11,0.114,0.022,0.091,0.114,0.022,0.091,500,40,0.116,0.299,0.045,0.116,0.299,0.045,500,40,0,0,0,0,0,0,500,40
2010,1,n12,0.123,2.624,-0.116,0.123,2.624,-0.116,500,41,0.147,1.191,-0.041,0.147,1.191,-0.041,500,40,0,0,0,0,0,0,500,40
2010,1,n14,0.12,5.034,-0.489,0.12,5.034,-0.489,500,41,0.147,0.023,0.311,0.147,0.023,0.311,500,41,0,0,0,0,0,0,500,39
2010,1,n15,0.0605,0.447,-0.06,0.1815,0.447,-0.06,500,39,0.0675,0.035,0.007,0.2025,0.035,0.007,500,40,0.0275,0,0,0.1846,0,0,500,39
2010,1,n16,0.056,0.306,0.025,0.168,0.306,0.025,498.96,39.3,0.058,0.586,0.036,0.174,0.586,0.036,500.17,38.9,0.02875,-0.81,0,0.20125,-0.81,0,499.43,38.4
2010,1,n17,0.0575,1.707,-0.151,0.1725,1.707,-0.151,501.12,39.99,0.065,3.117,-0.265,0.195,3.117,-0.265,500.73,39.09,0.0308,4.06,-0.37,0.2153,4.06,-0.37,501.37,42.09
2010,1,n18,0.0555,3.068,-0.443,0.1665,3.068,-0.443,500.54,39.44,0.0595,4.541,-0.611,0.1785,4.541,-0.611,500.4,39.4,0.0262,0,0,0.1849,0,0,500.56,37.51
2010,1,n19,0.056,-5.985,-8.687,0.168,-5.985,-8.687,496.43,38.8,0.0585,2.263,0.748,0.1755,2.263,0.748,500.37,39,0.0272,0,0,0.188,0,0,496.11,39.4
2013,1,m01,0.0555,1.797,-0.352,0.1665,1.797,-0.352,501.12,39.7,0.0635,2.149,-0.225,0.1905,2.149,-0.225,500.82,40,0.031,4.11,0,0.217,4.11,0,501.32,40.3
2013,1,m02,0.0555,0.627,0.031,0.1665,0.627,0.031,501,40.43,0.0645,1.24,-0.051,0.1935,1.24,-0.051,500,39.75,0.031,4.11,0,0.217,4.11,0,502,41.8
2013,1,n05,0.105,27.015,-12.876,0.105,27.015,-12.876,500,39.44,0.121,10.709,-0.643,0.121,10.709,-0.643,500,39.4,0,0,0,0,0,0,500,37.51
2013,1,n06,0.088,47.977,-16.122,0.088,47.977,-16.122,500,39.44,0.077,97.301,-32.59,0.077,97.301,-32.59,500,39.4,0,0,0,0,0,0,500,37.51
2013,1,n07,0.117,3.635,0.045,0.117,3.635,0.045,500,36,0.119,6.579,-0.62,0.119,6.579,-0.62,500,37,0,0,0,0,0,0,500,39
2013,1,n08,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2013,1,n09,0.11,3.242,0.793,0.11,3.242,0.793,500,38,0.117,2.365,0.155,0.117,2.365,0.155,500,40,0,0,0,0,0,0,500,38
2013,1,n10,0.108,9.819,-1.615,0.108,9.819,-1.615,500,39.44,0.127,5.201,-0.707,0.127,5.201,-0.707,500,39.4,0,0,0,0,0,0,500,37.51
2013,1,n11,0.114,0.022,0.091,0.114,0.022,0.091,500,40,0.116,0.299,0.045,0.116,0.299,0.045,500,40,0,0,0,0,0,0,500,40
2013,1,n12,0.123,2.624,-0.116,0.123,2.624,-0.116,500,41,0.147,1.191,-0.041,0.147,1.191,-0.041,500,40,0,0,0,0,0,0,500,40
2013,1,n14,0.12,5.034,-0.489,0.12,5.034,-0.489,500,41,0.147,0.023,0.311,0.147,0.023,0.311,500,41,0,0,0,0,0,0,500,39
2013,1,n15,0.061,-0.022,-0.018,0.183,-0.022,-0.018,500,39,0.0675,0.251,-0.009,0.2025,0.251,-0.009,500,40,0.0275,0,0,0.1846,0,0,500,39
2013,1,n16,0.056,0.44,0.007,0.168,0.44,0.007,498.96,39.3,0.0575,0.833,0.011,0.1725,0.833,0.011,500.17,38.9,0.02875,-0.81,0,0.20125,-0.81,0,499.43,38.4
2013,1,n17,0.0575,1.665,-0.149,0.1725,1.665,-0.149,501.12,39.99,0.065,3.072,-0.238,0.195,3.072,-0.238,500.73,39.09,0.0308,4.06,-0.37,0.2153,4.06,-0.37,501.37,42.09
2013,1,n18,0.056,2.141,-0.209,0.168,2.141,-0.209,500.54,39.44,0.06,3.186,-0.292,0.18,3.186,-0.292,500.4,39.4,0.0262,0,0,0.1849,0,0,500.56,37.51
2013,1,n19,0.054,-0.089,0.303,0.162,-0.089,0.303,496.43,38.8,0.0585,2.434,-0.392,0.1775,2.434,-0.392,500.37,39,0.0272,0,0,0.188,0,0,496.11,39.4
2015,1,m01,0.058,-2.747,1.156,0.174,-2.747,1.156,501.12,39.7,0.06,3.557,-0.41,0.179,3.557,-0.41,500.82,40,0.03,-2.267,1.498,0.21,-2.267,1.498,501.32,40.3
2015,1,m02,0.056,1.195,-0.066,0.167,1.195,-0.066,501,40.43,0.066,1.092,-0.012,0.199,1.092,-0.012,500,39.75,0.031,1.804,-0.08,0.22,1.804,-0.08,502,41.8
2015,1,n05,0.105,27.015,-12.876,0.105,27.015,-12.876,500,39.44,0.121,10.709,-0.643,0.121,10.709,-0.643,500,39.4,0,0,0,0,0,0,500,37.51
